Header,Fieldname,Type,Description
Rpt_Submit_Src,Report Submission Source ,Text,"Submission method of incident report (paper form, web or xml transmission)."
Rpt_Num,Report Number ,Text,"The submission source and 10-digit code that contains the year, month and sequence the incident report was received. The report number uniquely identifies each report."
MultRows,Number of Lines per Incident ,Text,"Displays the number of lines per Incident due to multiple shippers, commodities, and packages involved in an incident. (This is wrong, originally a Numeric, but it is a 'Yes' or 'No' field)"
Rpt_Type,Report Type ,Text,"Type of incident report being filed. Taken from Form DOT F 5800.1, Section I, #1."
Date_Inc,Date of Incident ,Date,"Date the incident occurred. Taken from Form DOT F 5800.1, Section II, #3."
Time_Inc,Time of Incident ,Text,"Time the incident occurred. Taken from Form DOT F 5800.1, Section II, #4."
NRC_Num,NRC Number ,Text,"If this incident was reported to the National Response Center (NRC), this is the report number NRC assigned to the incident. Taken from Form DOT F 5800.1, Section II, #5."
FedDOT_Agency,Federal DOT Agency Name ,Text,"If this incident was reported to another Federal DOT agency, the agency code is entered here. Taken from Form DOT F 5800.1, Section II, #6."
FedDOT_Rpt_Num,Federal DOT Report Number ,Text,"If this incident was reported to another Federal DOT agency, the report number is entered here. Taken from Form DOT F 5800.1, Section II, #6."
Inc_City,Incident City ,Text,"City name in which the incident occurred. Taken from Form DOT F 5800.1, Section II, #7."
Inc_Cnty,Incident County ,Text,"County in which the incident occurred. Taken from Form DOT F 5800.1, Section II, #7."
Inc_St,Incident State ,Text,"State in which the incident occurred. Taken from Form DOT F 5800.1, Section II, #7."
Inc_Zip,Incident Postal Code ,Text,"Postal code in which the incident occurred. Taken from Form DOT F 5800.1, Section II, #7."
Inc_NonUS_St,Incident Non-US State ,Text,If the incident occurred outside the US the foreign state that the incident occurred.
Inc_Cntry,Incident Country ,Text,Country in which the incident occurred.
Inc_Rte,Incident Route ,Text,"Street Address, Mile Marker, Yard name, Airport, Body of Water or River on which the incident occurred. Taken from Form DOT F 5800.1, Section II, #7."
Mode_Transpo,Mode of Transportation ,Text,"Describes the mode of transportation in which the incident occurred. Taken from Form DOT F 5800.1, Section II, #8."
Transpo_Phase,Transportation Phase ,Text,"Transportation phase when the incident occurred. Taken from Form DOT F 5800.1, Section II, #9."
C_R_Name,Carrier/Reporter Name ,Text,"Name of the company responsible for transport of the product. Taken from Form DOT F 5800.1, Section II, #10."
C_R_Street,Carrier/Reporter Street Name ,Text,"Street address of the carrier. Taken from Form DOT F 5800.1, Section II, #10."
C_R_City,Carrier/Reporter City ,Text,"City name the carrier resides in. Taken from Form DOT F 5800.1, Section II, #10."
C_R_State,Carrier/Reporter State ,Text,"State the carrier resides in. Taken from Form DOT F 5800.1, Section II, #10."
C_R_Zip,Carrier/Reporter Postal Code ,Text,"Postal code the carrier location. Taken from Form DOT F 5800.1, Section II, #10."
C_R_NonUS_St,Carrier/Reporter Non-US State ,Text,If carrier resides outside the US the foreign state that the carrier resides in.
C_R_FEDDOT_ID,Carrier/Reporter FED DOT ID ,Text,"Modal carrier identifier number or code. Taken from Form DOT F 5800.1, Section II, #10."
C_R_Reg_ID,Carrier/Reporter HAZMAT Reg ID ,Text,"The Hazardous Materials Registration number of the carrier. Taken from Form DOT F 5800.1, Section II, #10."
C_R_Cntry,Carrier/Reporter Country ,Text,Country the carrier resides in.
Ship_Name,Shipper Name ,Text,"Name of the company shipping a product. Taken from Form DOT F 5800.1, Section II, #11."
Ship_Street,Shipper Street Name ,Text,"Street address of the shipper. Taken from Form DOT F 5800.1, Section II, #11."
Ship_City,Shipper City ,Text,"City name that the shipper resides in. Taken from Form DOT F 5800.1, Section II, #11."
Ship_St,Shipper State ,Text,"State that the shipper resides in. Taken from Form DOT F 5800.1, Section II, #11."
Ship_Zip,Shipper Postal Code ,Text,"Postal code that the shipper resides in. Taken from Form DOT F 5800.1, Section II, #11."
Ship_NonUS_St,Shipper Non-US State ,Text,If shipper resides outside the US the foreign state that the shipper resides in.
Shipper_Cntry,Shipper Country ,Text,Country that the shipper resides in.
Ship_Paper,Shipper Waybill/Shipping Paper ,Text,"Identification number of papers used to identify shipment of hazardous materials being transported. Taken from Form DOT F 5800.1, Section II, #11."
Ship_HZMT_Reg_ID,Shipper HAZMAT Registration ID ,Text,"The Hazardous Materials Registration number of the shipper. Taken from Form DOT F 5800.1, Section II, #11."
Orig_City,Origin City ,Text,"City name where shipment of the hazardous material originated. Taken from Form DOT F 5800.1, Section II, #12."
Orig_State,Origin State ,Text,"State where shipment of the hazardous material originated. Taken from Form DOT F 5800.1, Section II, #12."
Orig_Zip,Origin Postal Code ,Text,"Postal code of state where shipment of the hazardous materials originated. Taken from Form DOT F 5800.1, Section II, #12."
Orig_NonUS_State,Origin Non-US State ,Text,"If the shipment originated outside the US, the foreign state that the shipment originated."
Orig_Country,Origin Country ,Text,Country that the shipment originated.
Dest_City,Destination City ,Text,"City name where shipment of the hazardous materials is destined. Taken from Form DOT F 5800.1, Section II, #13."
Dest_State,Destination State ,Text,"State where shipment of the hazardous materials is destined. Taken from Form DOT F 5800.1, Section II, #13."
Dest_Zip,Destination Postal Code ,Text,"Zip code of state where shipment of the hazardous materials is destined. Taken from Form DOT F 5800.1, Section II, #13."
Dest_NonUS_State,Destination Non-US State ,Text,"If the shipment is destined outside the US, the foreign state that the shipment is destined."
Dest_Country,Destination Country ,Text,Country that the shipment is destined.
Commod_Short_Name,Commodity Short Name ,Text,Short name of the product being transported.
